,figure001,figure002,figure003,figure004,figure005,figure006,figure007,figure008,figure009,figure010,figure011,figure012,figure013,figure014,figure015,figure016,figure017,figure018,figure019,figure020,figure021,figure022,figure023,figure024,figure025,figure026,figure027,figure028,figure029,figure030,figure031,figure032,figure033,figure034,figure035,figure036,figure037,figure038,figure039,figure040,figure041,figure042,figure043,figure044,figure045,figure046,figure047,figure048,figure049,figure050,figure051,figure052,figure053,figure054,figure055,figure056
s01,2.91718515741,2.52815927196,2.35694469398,2.46146665247,2.77796898918,2.87038678226,2.70586867841,2.75961423026,2.05697910939,2.38571773142,2.43913079032,3.00126312714,2.46460683384,2.62933049433,2.37092790712,2.33774827817,1.94060001434,2.82558850417,2.86987972355,2.95593639398,2.9116375615,2.76224275554,2.53558669664,2.84165218485,2.28249896076,2.30929494545,2.46927917932,2.99006959106,1.67635958506,2.33801333336,2.70705631085,2.76549828402,2.7539790409,2.58311090289,1.60437623539,2.34170414656,2.59322149292,2.55791043415,2.59224801483,2.49965237325,2.33535512632,1.91814650888,2.18993346902,2.79466733979,2.86438373461,2.5621335157,2.74450509107,2.45515761693,1.63436918177,1.69251171942,3.05710680487,2.86755922933,2.87558557681,2.61705058085,2.35694469398,2.10678967178
s02,2.48017681277,2.29778567855,3.00126312714,2.0287705411,2.61311206398,2.40875228841,2.56147625786,2.22987531469,2.88209764358,1.04827739498,1.89969979628,2.94149784521,2.63025590002,2.40565590808,2.25575548677,2.69733074369,2.79489598276,2.5919935543,2.98080346008,2.61872562468,2.89499395401,2.88209764358,1.88436582396,2.33801333336,2.61876395962,2.46724821641,2.26936776952,2.81366507666,3.05715731786,2.89518514287,2.59322149292,2.42104948722,2.01643024144,2.8948762785,1.53330544521,2.61311206398,2.22085105885,2.69797813862,3.03684397821,2.9914568924,2.21761804827,1.78670772297,2.91277609785,2.75999874565,2.80983639067,2.6222647649,2.60865038335,2.88555705221,2.96203977034,2.63350757987,2.76033531386,2.28468966937,2.9669487005,3.03180581013,2.47691426663,2.43482455954
s03,2.60154767842,2.1589754696,2.43913079032,2.38537689023,2.66103818084,2.37578321933,2.12653145173,2.72474736727,2.7435167013,3.05710680487,2.74081609899,3.12161805343,2.47172009979,2.84221801297,2.03822099399,2.41698988478,2.42682919283,2.46749649556,1.7344030099,1.74385451587,2.41972267507,2.36518543633,1.98252666474,2.9783698121,2.8839421188,2.89499395401,2.65448339394,2.94346822568,2.5312465045,2.73874682084,2.63612569753,2.70761852834,2.12404994646,2.61300388404,2.3861029994,2.54009911092,2.89657244499,2.11605214259,2.90792594436,3.0092460956,1.84125911532,2.55815794844,2.38537689023,2.40427310292,2.35632644473,2.12522248459,2.54664555052,2.73247817669,2.76970493271,2.3861029994,2.61157751382,2.8299458739,2.82538487669,2.36428324791,1.99407283962,3.12161805343
s04,2.96889060796,2.64938115596,1.77002815463,2.10932966184,2.48971323595,2.8355762614,2.68501800557,2.55791043415,2.54717896996,2.84165218485,2.16975181601,2.61057247034,2.8304555628,2.48679734825,2.08002214406,2.33355760457,2.93679504281,2.52733760846,1.67961054075,1.76334262358,2.64330509109,2.79016661069,2.11492088503,2.84335422243,2.68491134214,2.82403610867,3.00835101007,2.25486214508,2.53014135592,2.91718515741,2.70218587916,2.37561299113,2.92460426201,1.8827964642,2.29818137303,2.03672169308,2.22718333934,2.68314076235,3.03051801616,2.63032719004,3.03684397821,2.33535512632,2.35632644473,2.2969758309,2.29677506982,2.60599068062,2.42199900051,2.26688145409,2.00615210165,3.03888472615,2.69656242066,2.75961423026,1.60437623539,2.53104729848,2.95746693225,2.73817777519
s05,2.64995199326,2.66514918352,2.45043241816,2.42682919283,2.70055044712,2.37561299113,3.01073588233,2.71080387656,3.08806466008,2.89518514287,2.89966487595,3.02901630922,2.45031546064,2.93679655346,2.87038678226,2.6457413996,2.28468966937,1.44203241481,2.97902169744,2.99159641842,2.64792284443,2.22630239372,2.78458744454,2.70300003145,2.72171281233,2.19352512218,2.53726591374,1.22397957711,2.77716808423,2.22992626267,2.74450509107,2.39537487513,1.99863381638,2.3590438617,2.87796515367,2.59399323852,2.9914568924,2.91000048903,2.96243841034,2.98324330304,2.19900456459,2.54224880525,2.81316655673,2.75535769555,2.08356780343,2.59399323852,2.9914568924,1.88963033556,2.94367586692,2.66176260995,2.77251898003,1.82511510242,2.3029973702,2.54009911092,2.9783698121,2.77033134788
s06,2.72850589084,2.87796515367,2.47691426663,2.19873755338,2.91277609785,1.92925147279,2.48891806127,1.54017234143,2.22674086866,2.25486214508,2.53014135592,2.50716775603,2.96593074164,1.84921115041,2.57970917279,2.55405599428,2.35720432699,1.96975979931,2.68779088367,2.45869853181,2.96562126439,2.95488342433,1.9970274284,2.83768593779,2.55405599428,2.55762793728,3.05577302511,2.37561299113,2.73078924351,2.46460683384,1.81746276436,2.86987972355,2.61874558914,2.56476018327,2.37578321933,2.62805724778,2.43783072306,2.8900114155,1.62642661405,2.54717896996,2.77041157311,2.41534467071,2.8817784964,2.82538487669,2.94298758356,2.92147374184,1.59862770145,2.80491025681,2.71285532935,2.75172462965,1.9905798683,2.65166383673,2.48269274804,1.93045935938,2.8024888088,2.61300388404
s07,2.04910486756,3.05769270322,3.05723154683,2.80491025681,2.04618637489,2.29952812107,2.24988209213,2.61395480232,2.25159660633,2.2969758309,2.53326575717,1.93238896771,2.30411765176,2.36485748494,2.46150980104,1.68704415179,2.33225751705,2.66975522979,1.65986071298,2.54847582206,2.62818401729,2.3178504379,2.9558468328,2.17137513375,2.64438989263,1.51926468941,2.81210811187,2.77292604174,2.70746850687,2.85097824413,2.88829890989,2.39757242193,2.04618637489,2.83768593779,2.43005095885,2.56345776829,2.76689158281,2.62256915711,2.91718515741,2.72171281233,2.90792594436,2.41393362203,3.06589328051,2.1783949171,2.72548984385,2.14463454613,2.85097824413,2.74450509107,2.86513814527,2.75522628865,2.57970917279,2.05590609286,2.82280402865,2.18993346902,2.8918398458,2.77723917596
s08,2.00615210165,1.93238896771,1.61239671042,2.45043241816,2.88422114712,2.96593074164,2.66514918352,2.74081609899,2.70300003145,2.71386044109,2.14389933406,2.72050609816,1.98977213816,2.73078663922,2.87455418064,2.66717008885,2.68508167078,2.44907381801,2.82280402865,2.12653145173,2.43499285647,2.55762793728,2.67235823927,2.61876395962,2.91289594608,2.13371575366,2.93116007853,2.55135153395,2.64995199326,2.91000048903,2.40895026635,2.53558669664,2.59224801483,2.21069410432,2.63933192718,2.29480926951,2.89657244499,2.24012924043,2.63025590002,2.37092790712,3.00518811577,2.34518913179,2.9710562071,2.43913079032,2.95008268981,2.69729343265,2.7539790409,2.34985117983,2.92584251413,1.29018632486,2.91000048903,2.82859242824,2.55131337652,2.02568775628,2.93116007853,2.08002214406
s09,2.14463454613,2.8503194739,2.39705940061,2.61395480232,2.55135153395,2.6222647649,3.05715731786,2.22987531469,2.71180626686,2.72269740133,2.79489598276,2.62933049433,2.86588656862,2.60043271881,2.64438989263,2.70055044712,1.99909640219,2.00615210165,2.66514918352,2.5335556892,2.16067071981,2.74872578902,2.65859616527,2.79483855696,1.35664475347,2.62331560243,2.43304505687,1.54989898201,2.77033134788,2.30929494545,2.32492621093,2.55691360111,2.74081609899,2.7801080113,2.79483855696,2.98148606318,2.54717896996,2.65120722368,2.58311090289,2.66122390705,2.72573190926,2.50240452565,3.04469061391,2.40565590808,2.42682919283,2.61057247034,3.06501169552,2.83698374861,2.82755739757,2.87038678226,2.40110207098,2.53905536202,1.62642661405,2.37027371474,2.81316655673,2.18108102412
s10,2.54208365516,2.61165800094,2.45311716439,2.94149784521,2.3238339562,2.77041157311,2.12006186945,2.59224801483,2.56912434536,2.53104729848,2.73923246032,1.66640575311,1.68704415179,2.80983639067,2.63200865718,3.07273145202,1.81746276436,2.6796927216,2.08356780343,2.98324330304,2.7801080113,2.69797813862,2.29952812107,2.75339568367,2.33801333336,2.61965013428,2.83768593779,1.98100862275,2.11167400324,3.03289031765,2.59560946179,2.54224880525,1.41765742789,2.90259631842,2.20135951724,2.66176260995,2.43783072306,2.48971323595,2.68779088367,2.95216466096,3.05251832426,2.35698182285,2.75589408753,2.24466368518,2.42198683624,2.80427373387,3.07549544969,2.13941052525,2.40875228841,2.18920208593,2.99054632044,3.03051801616,2.8948762785,2.38606135456,2.88829890989,2.18920208593
